userName,score,at,content
Sombattula Naveen,5,2026-07-22 20:43:45,super app more offres
Lingaraj Mahapatra,5,2026-07-22 20:41:23,very good aap
Dhruv Tripathi,5,2026-07-22 20:41:03,it's nice app
rajnikantpatel rajnikant,5,2026-07-22 20:39:09,nice
ANANYA PATRA,4,2026-07-22 20:39:03,good
Goleay Gupt,4,2026-07-22 20:38:28,so good
rajesh gowda r,5,2026-07-22 20:38:24,good
Jyothi Jyothi,5,2026-07-22 20:37:20,zomato will give a lowest price and free delivery on time will be the order and Best test
Ms Ratna Priya,5,2026-07-22 20:36:01,Nice ambience tasty 🤤 food friendly staff
Narsingh Tudu,5,2026-07-22 20:35:50,Good
Shantilal Joshi,1,2026-07-22 20:35:05,"Very disappointing experience with Zomato. I received a completely cold pizza, and when I raised the issue immediately, my concern was not resolved satisfactorily. Delivering cold food is one problem, but ignoring genuine customer complaints is even worse.I paid for fresh food and reliable service but got neither. This experience was a complete waste of money and time. If Zomato cannot ensure food quality provide proper customer support when things go wrong, it seriously affects customer trust."
Amresh Dalai,2,2026-07-22 20:34:52,average
Bithi Sonowal,1,2026-07-22 20:33:36,This app doesn't even deserve one star . No cash on delivery.😂
hitendrasinh rathod,5,2026-07-22 20:33:30,Nice 👍
Dhapa Mukesh,5,2026-07-22 20:32:17,nic
MUKHTAR SHAIKH,4,2026-07-22 20:32:02,nice
Sanjaya Nahak,1,2026-07-22 20:31:59,"I am ordering one cafe Oberai bakes &cafe .. but he is delivery me one broken cake 🎂. I am complaint but zomato support and restaurant not listen my complaint,,, don't order any order to zomato .. always better swiggy .."
Mohammed Idrees,1,2026-07-22 20:31:15,No offers
anuj dhaka,1,2026-07-22 20:29:30,this is ridiculous how can you say this is afghani pander Tikka.
Ace Downs,5,2026-07-22 20:29:22,"During CJP protest I can't go at Jantar Mantar for protest so, I placed order for protesters from my side, Thank you Zomato for enabling this service 😄😄😄"
RACHAKONDA SURYA VATHI,5,2026-07-22 20:28:17,it's good
Charu B,1,2026-07-22 20:28:08,The don't refund the amount after their customer care says that they will. I want people who have faced the same issue to reach out to me so that we all can find out how much revenue they are generating through fraud and can take legal action.
Vanamadi Shakhar,5,2026-07-22 20:28:05,good
Akshara Tharun,5,2026-07-22 20:28:02,Good best service app
ASHUTOSH KUMAR,5,2026-07-22 20:27:48,nice
HUZAIFA HUZAIFA,3,2026-07-22 20:24:15,👍
Rocky Kumar,3,2026-07-22 20:23:27,good
shankar Soni,5,2026-07-22 20:23:21,good
Abhijeet Patil,1,2026-07-22 20:22:44,"worst food delivery app of all, no time value, no proper organisation for delivery"
Golu Sharma,5,2026-07-22 20:22:29,🤣
RAKESH KUMAR,4,2026-07-22 20:21:56,very good
Priti Joshi,5,2026-07-22 20:21:32,nice app 🤩👍
sunil rajan,5,2026-07-22 20:21:31,good
Roshan avchar,5,2026-07-22 20:21:20,good
Pawan Singh,5,2026-07-22 20:21:19,best
Anbu Selven,4,2026-07-22 20:20:37,super
Ryad Hendy,5,2026-07-22 20:19:48,Good
ramyasri koppoju,5,2026-07-22 20:17:46,good
Rohit gujar,5,2026-07-22 20:17:45,very good
Kothwal4639 Cherry,1,2026-07-22 20:17:22,Every single order I make I never get the food. The delivery service is awful...
REDDY RAJASHEKHAR,5,2026-07-22 20:15:41,Good service
Kishor Chavan,5,2026-07-22 20:13:36,good
kamlesh parmar,5,2026-07-22 20:13:29,very nice
Sagar pawar,5,2026-07-22 20:13:16,good
kishan korra,5,2026-07-22 20:13:00,👍
Subhasis Chakraborty,5,2026-07-22 20:12:33,ok
Shankar Shinde,5,2026-07-22 20:11:18,ok
saurabh sutar,4,2026-07-22 20:09:38,👍
mausam chauhan,5,2026-07-22 20:09:03,🙏
Edit Flow,5,2026-07-22 20:08:42,very nice
Samar Singh,4,2026-07-22 20:07:54,good platform 💯
Chandra kanta Sukla,5,2026-07-22 20:07:50,very good
UDAYBHASKAR S,5,2026-07-22 20:07:16,excellent
Chals Vh,1,2026-07-22 20:02:33,you charge extreme
Sunil khant Khant,5,2026-07-22 20:00:04,well done 👍
Jagmohan Kalia,5,2026-07-22 19:59:44,good service
BARUN KUMAR DAS,5,2026-07-22 19:58:14,good
Naval Kishor,5,2026-07-22 19:58:09,best service Zomato
Priya Raj,5,2026-07-22 19:57:12,very good 😊😊😊😊😊😊👍👍👍
Samar Kahar,5,2026-07-22 19:56:08,very good
Naresh Saini,5,2026-07-22 19:56:01,gud
Dipendra Tomar,5,2026-07-22 19:55:23,ok
Mahendra Singh Panwar,3,2026-07-22 19:55:22,good
Shaikh Rahim,4,2026-07-22 19:55:20,good
Siddhant Singh,5,2026-07-22 19:54:28,besst
Proud Indian,1,2026-07-22 19:53:43,"Very Bad experience wid the illogical Customer service. The false promises &no responsibility adds more -ve adjectives to your name Zomato. Dey don't wnt2 take responsibility 4 dr own delivery partners who r alrdy frustrated wit dr own company. Wdout marking"" Collected"" 4m the outlet dey eat ur food and the zomato ppl ll 1st tell u to wait for 15mins to know the status of already lost order. den dr senior exec calls& apologize wit a coupon 2x the value but ITS ALL LIE u won't get any coupon evr"
Realme,5,2026-07-22 19:53:41,very nice
Salil Sharma,5,2026-07-22 19:52:41,good
Krushna Mali,5,2026-07-22 19:50:56,khup chhan aahe
Kushwaha Navin,5,2026-07-22 19:50:52,good
Deepali Deshpande,5,2026-07-22 19:50:01,excellent service
JR Rohtas,4,2026-07-22 19:49:03,good
Jehirul Islam,5,2026-07-22 19:48:55,good
Surendra Khosala,5,2026-07-22 19:48:44,excellent
Panyam dileep6677,5,2026-07-22 19:48:32,good
prasad raju,5,2026-07-22 19:48:23,nice good 👍
Sandip Bariya,3,2026-07-22 19:47:31,Nice
Amit Rajotiya,5,2026-07-22 19:46:46,nice and fast delivery
mandeep rawal,5,2026-07-22 19:43:37,Good
Pooja Bhosle,1,2026-07-22 19:43:29,very bad टेस्ट
Dr. Aneeshya Sara Abraham,1,2026-07-22 19:43:26,"Rates are unfairly high than the real restaurant price. The portion size is also not standard. I just ordereda chilli chicken, the price was listed 275, but on the actual bill it says 190. I tried to contact the customer no response or no option to contact a real associate just AI chat, which just says they will provide good service in the future. Utterly disappointed."
Debashree Dey,1,2026-07-22 19:43:18,"No dressing in salad...simply they cut cucumber, tomato, carrot and two green chilly...not happy at all with the delivery."
WEIRD GAMER,1,2026-07-22 19:41:12,don't use this app the customer care does not care for you. And if u try to reach them tey just say that they will reach you in 24 hrs. what will I do in 24 hrs if I am hungry now
PC Thakur,4,2026-07-22 19:36:38,so good
Aditya Parve,5,2026-07-22 19:35:39,nice app this app copon very nice
Shila Yadav,5,2026-07-22 19:30:14,👍
Juned Badshah,2,2026-07-22 19:29:58,the item was less in quantity but there was no resolutions from Zomato wasted my money
Sujal Mondal,5,2026-07-22 19:29:26,good
Pratap Dalvi,5,2026-07-22 19:29:25,please give me more offers please 🥺
Ash Taeki,4,2026-07-22 19:29:14,awesome
Rushikesh Bandal,3,2026-07-22 19:26:12,good😇
Gulafsha Siddiqui,5,2026-07-22 19:25:51,good 😊
Gajendra Kholkumbe,5,2026-07-22 19:24:20,Good
Pranav Kumar,2,2026-07-22 19:22:30,just good
Walk up Side,5,2026-07-22 19:21:24,Fast food delivery app
prabhakar kumar,5,2026-07-22 19:20:16,good
Naveen Kumar,4,2026-07-22 19:20:06,good 👍
Ashish Emrith,1,2026-07-22 19:18:43,food delivery is 2× time later than expected
Nilesh Maskar,5,2026-07-22 19:18:36,great
Rishi Jhajha,1,2026-07-22 19:18:10,very bad service and their executive are very bad communication I stop this app very bad experience today
Saba Tabassum,5,2026-07-22 19:17:48,Good service and tasty
rohit singh,1,2026-07-22 19:17:38,"Please avoid joining Zomato or Blinkit. I had a pending amount of ₹3,000 that was never processed despite multiple follow-ups. Extremely disappointing experience. Candidates, stay alert and verify everything before joining. #Zomato #Blinkit #DeepinderGoyal #Hiring #JobAlert"
Syed Jameeluddin,5,2026-07-22 19:15:59,thank you so much 🙏
RAVI SOLANKI,4,2026-07-22 19:15:38,good
Rajesh Tirumala,5,2026-07-22 19:15:22,nice service
Deepa Basavaraj I,5,2026-07-22 19:15:04,Good one
Sonu Acharya,5,2026-07-22 19:13:24,best
Mukesh Rathi,5,2026-07-22 19:13:16,bast sarvice
Kavita Chimote,5,2026-07-22 19:13:16,very nice 👍
Ravindranath Reddy,1,2026-07-22 19:12:36,"Zomato ! You are ripping us off. This afternoon I ordered paneer jilebi from Emerald sweets at Indira Park, Hyderabad. The price quoted in your menu was Rs. 375.00 for 250 gms and with uour charges it came upto Rs. 390.00. As the delivery was getting very delayed I canceled the order and I went to another Emerald outlet at Shivam Road and picked up the same quantity of 250 gms of Paneer jilebi at Rs 245.00 including taxes. It's Cheating, right ?"
Ilias Pahar,5,2026-07-22 19:07:47,thank you so much for available in my location
Aryan Giri,5,2026-07-22 19:07:45,gret
shrikant kadam,4,2026-07-22 19:06:14,delivery charges are high
Mukesh Khantwal,5,2026-07-22 19:05:31,good delevery
Tinku Jaiswara,4,2026-07-22 19:03:26,good service
Appu Raj,5,2026-07-22 19:01:35,good delivery
Vivek M,1,2026-07-22 19:00:54,worst possible customer care and resolution of issues. Better to order from Swiggy
Kashinath Heddalliker,5,2026-07-22 19:00:14,👍
Saad Khan,4,2026-07-22 19:00:00,good service
AKP Prajapati gamerz,5,2026-07-22 18:59:48,Proud to Zomato for delivering food at Jantar Mantar.
Ayan Mahetar,5,2026-07-22 18:58:00,best
swarnabh prodhani,4,2026-07-22 18:56:08,ita good user friendly
Reyo,5,2026-07-22 18:56:07,goated
Amit Kumar,5,2026-07-22 18:54:50,good service
Raja Hussain,5,2026-07-22 18:54:36,exsilant
Bobby Kolakaluri,1,2026-07-22 18:54:23,not coming offers why sir
Riyaz Nadaf,3,2026-07-22 18:53:59,super
SHADAKSHARI g,4,2026-07-22 18:51:22,good
Girish Rathod,5,2026-07-22 18:48:58,super good
Manasi Naik,5,2026-07-22 18:47:29,good app
Debika Sarkar,5,2026-07-22 18:47:26,verry nice
2014 0101,1,2026-07-22 18:46:56,"Very worst no proper customer service every time bot replies and at the end it will say send email, after sending emails no response from them, ridiculous service if any one has any issues about delivered products there will not be any solutions, my personal experience is really worst with Zomato."
Babji Shaik,5,2026-07-22 18:45:05,good
Sajid Rangrezz,5,2026-07-22 18:39:14,yummy
DEEPAK KUMAR,1,2026-07-22 18:38:41,good delivery
Shaik Gowsiya,4,2026-07-22 18:35:34,good
manohar Babu,3,2026-07-22 18:34:49,required more enhancement
Haresh Chandra,5,2026-07-22 18:29:29,very nice food app 🙂
Archita Jaiswal,5,2026-07-22 18:29:24,Best coupon offers
Dhruv Dutta,1,2026-07-22 18:28:17,"I don't like the delivery partner in zomato. They came to me to deliver food and suddenly clicked a photo of me while I was unaware. Later when I caught him, he said that it's a photo clicked as proof of order delivery. I made him delete it. zomato doesn't have any email or customer contact number so there is no evidence to store this incident. so i write here for everyone to know. zomato experience is not good."
Kundan Kumar pandey,3,2026-07-22 18:26:15,good 👍
Fiza Mulla,5,2026-07-22 18:24:24,good app
Roshan Parapte,5,2026-07-22 18:23:29,good service
Dinesh Kumar,5,2026-07-22 18:22:01,good
Assistant Director Consumer Affairs,1,2026-07-22 18:21:22,"very very poor service, Customer care is very bad 👎"
Kuntal Mondal,5,2026-07-22 18:19:08,good
rohit Vi8100,5,2026-07-22 18:13:46,very good
Anuj Kumar,4,2026-07-22 18:11:51,good
Golz Fastener,5,2026-07-22 18:11:17,nice
Akshra Kumari,1,2026-07-22 18:08:59,bad
RAM Lal,5,2026-07-22 18:08:44,ok
Shinu Mon. M. G Shinu Mon.M.G,1,2026-07-22 18:08:22,lag on the app
Amtea. Tlau,4,2026-07-22 18:02:35,good
Anwarbhasha Anwar,5,2026-07-22 17:59:36,super
Deepak Phatra,5,2026-07-22 17:58:45,very nice
Sandip Bhattacharjee,1,2026-07-22 17:57:14,scam scamm scam Zomato
Jagu Rana,2,2026-07-22 17:56:01,nice
ñêêt pãwãr,5,2026-07-22 17:55:18,excellent....
shubham utkarsh,1,2026-07-22 17:54:36,Worst... Order food at night before 12pm Got my order canceled at 12:55 coz no delivery partner.. Then don't take online orders when and make some one hungry wait 1hr before canceling it... Their Customer support is like talking to a wall AI don't know what it's saying... Very disappointed very very...
Pappu Kumar Mandal,5,2026-07-22 17:53:24,good 👍
Sanjit Das,5,2026-07-22 17:53:07,ok ok
Lala Mast,5,2026-07-22 17:53:02,excellent
Suraj Suraj,5,2026-07-22 17:48:39,good food test
Sameer Meena,5,2026-07-22 17:47:52,😊
poonam baghel,5,2026-07-22 17:41:30,best
Shalu Kalyan,5,2026-07-22 17:41:02,very good 👍
Swara Gurav,4,2026-07-22 17:41:02,good service
vinod negi,5,2026-07-22 17:39:48,excellent
Nagraj Kulkarni,4,2026-07-22 17:39:32,no offers..??
Ashwini Ray,1,2026-07-22 17:38:16,"one of the worst apps to order food from....their customer service team tops it all.... I am a ""zomato gold"" member still if you highlight it something they will make you feel that you did something wrong and are a liar..... it was wonderful having a conversation with Pranit and Munugapatti as they helped me in wasting my time....NEVER USING IT AGAIN"
Arpi - dreamy girl,5,2026-07-22 17:38:01,very nice taste
Suman Kumari,4,2026-07-22 17:33:50,thora or jaldi deliver karty to baut achha hotaa
