userName,score,at,content
Sanjeet,3,2026-07-28 00:51:41,nice
Rc.vishal Sharma,2,2026-07-28 00:50:47,u should have do cash on delivery at 1 am so that I can order more for it
Aditya Soni,5,2026-07-28 00:44:47,good
Muntu Khan,5,2026-07-28 00:39:56,I love swiggy
Chaudhary Abhi,5,2026-07-28 00:32:52,frod krta h logo k saath
Suraj Kumar,5,2026-07-28 00:29:06,nice 👍
srikar retikal,1,2026-07-28 00:29:06,till now 4 to 5 times I had problems with my food delivery. couple of times they didn't delivered at all n I'm not satisfied with their response. latest on 27th July 2026 21:10 hrs i ordered a pizza in oven story pizza but without delivering it to me only their delivering executive marked it as delivered n when i tried to contact him he haven't answered my call for 15 minutes. and then I called customer care but they also haven't helped me.
AJAY SAHANI,5,2026-07-28 00:25:13,"when my order comes on time, give you proper response."
Maaz Parmar,1,2026-07-28 00:20:36,every time I ordered icecream it is already melted and when we ask for replacement thay don't answer
Kartik Vishwakarma,5,2026-07-28 00:17:50,happy
Pradeep sahu,5,2026-07-28 00:17:10,eating food pizza test
Harun Shekh,5,2026-07-28 00:11:27,very good food and snacks
Vala Jayesh,4,2026-07-28 00:03:54,ohk 👍
Anurag Gupta,1,2026-07-27 23:55:19,"I am a regular user, but companies have just become too comfortable with over promising and under delivering. Took the Swiggy Black Membership and still end up talking to stupid chat bots. Whats the point of paying extra."
Shobhit Kumar,3,2026-07-27 23:49:29,good 👍
Amith.a.s Amith.a.s,1,2026-07-27 23:49:01,Asking for location after giving current location
Shefali shrivas,1,2026-07-27 23:47:30,very poor service delivery partner doing other work instead of delivery orders and restaurants deliver too late
najem Khan,5,2026-07-27 23:41:49,veri good 👍💯
Sariga Dridan,5,2026-07-27 23:40:21,good
